CL.LECAS-20                                                                   LECAS-REF FICTIVE PR ECH 0000000,000000000,01                LECAS   00000000
CLA4.LECAS-20                                                                 LECAS-CLA A4 D40 ECHANT  0000000,060000000,01                LECAS   00000000
CLA5.LECAS-20                                                                 LECAS-CLA A5 ECHANTILLON 0000000,210000000,01                LECAS   00000000
CRE.LECAS-20                                                                  LECAS-REF FICTIVE PR ECH 0000000,000000000,01                LECAS   00000000
G854026-20                                                                    LOT DE 4 P.DOCUMENTS A4  0000002,400000009,13LPD8    500             00000210
G858026-20                                                                    LOT 4 P.DOCUMENTS A4 HAW 0000003,710000013,01LPD8    500             00000168
G859026-20                                                                    LOT DE 4 YEKAS A4 HAWAI  0000001,870000007,65HAN2    500             00001170
G889626-20                                                                    LOT 4 CHEM KANG HAWAI D4 0000003,080000011,63KAN1    509             00000252
000027-09                                                                     PRESENTOIR ASTRALIS      0000000,000000001,95560     560             00000000
000170-20                                                                     P-DOCS A4 PP GR SOIE 120 0000001,340000000,98                GALEC   00000000
000503-20                                                                     P-DOCS A4 PP GR SOIE 40V 0000000,590000000,53                GALEC   00000000
000715-09                                                                     STYLO OPTIMUM            0000000,270000001,50500     500             00001480
00153-20                                                                      CLASSEUR A4 PVC DOS 40MM 0000000,000000000,65                GALEC   00000000
00154-20                                                                      LOT DE 3 CHEM A4 3R EL C 0000000,000000000,70                GALEC   00000000
001801-20                                                                     INTERC 6P ORGANISER INTE 0000000,120000000,10ASIN    INT     PAPETE  00000000
002000-17                                                                     PROTEGE-LIVRES MAGIC-COV 0000000,000000001,24                        00000000
002002-17                                                                     PACK 5 PROTEGE-LIVRES MA 0000000,000000002,52                        00000000
00311-20                                                                      P-DOCS A4 PP GR SOIE 40V 0000000,600000001,50LPD6    PDO     GALEC   00014575
008-17                                                                        LC-S100 PPERF A4 PP ECO+ 0000000,000000000,10                GALEC   00000000
008642-17                                                                     ROULEAU 0,45X10M BON ELE 0000002,120000001,78ELSN    509             00007510
009030-03                                                                     YEKA A4 VIDE PP GRAIN SO 0000000,360000000,10HAN2    MON             00003400
009030-09                                                                     YEKA A4 VIDE PP GRAIN SO 0000000,360000000,10HAN2    MON             00000920
009030-13                                                                     YEKA A4 VIDE PP GRAIN SO 0000000,360000000,10HAN2    MON             00000960
009030-14                                                                     YEKA A4 VIDE PP GRAIN SO 0000000,360000000,10HAN2    MON             00000600
009030-20                                                                     YEKA A4 VIDE PP GRAIN SO 0000000,370000000,10HAN2    MON             00018480
009039-20                                                                     YEKA A4 PP GRAIN SOIE    0000000,370000001,25HAN2    MON             00043880
009040-20                                                                     YEKA A4 PP GRAIN SOIE 2  0000000,340000000,38ASSE    530             00000360
009130-03                                                                     YEKA A4 VIDE PPR GRAIN S 0000000,370000000,10HAN2    MON             00002240
009130-09                                                                     YEKA A4 VIDE PPR GRAIN S 0000000,370000000,10HAN2    MON             00001840
009130-13                                                                     YEKA A4 VIDE PPR GRAIN S 0000000,370000000,10HAN2    MON             00001800
009130-14                                                                     YEKA A4 VIDE PPR GRAIN S 0000000,370000000,10HAN2    MON             00001400
009130-20                                                                     YEKA A4 VIDE PPR GRAIN S 0000000,380000000,10HAN2    MON             00001640
009339-20                                                                     YEKA A4 PP GR SOIE GARNI 0000000,720000001,75ASSE    530             00000980
009532-20                                                                     LOT 2 YEKAS A4 PP GRAIN  0000000,860000000,84HAN2    MON     GALEC   00001160
0095390150-20                                                                 CHEM KANGOUROU PP GRAIN  0000000,470000002,82BOBS    510             00027720
01346902-20                                                                   INTERC CL 6 P EXTRA-LARG 0000000,240000001,30IN20    INT     UNIPAP  00000000
